# KRName IVSes
6D6A FE00; Standardized_Variants;CID+23474
6DCB FE00; Standardized_Variants;CID+23626
6DDA FE00; Standardized_Variants;CID+23657
6DEA FE00; Standardized_Variants;CID+23688
6E9C FE00; Standardized_Variants;CID+23979
6EBA FE00; Standardized_Variants;CID+24033
6ED1 FE00; Standardized_Variants;CID+24087
6F0F FE00; Standardized_Variants;CID+24199
6F23 FE00; Standardized_Variants;CID+24237
6FEB FE00; Standardized_Variants;CID+24593
6FFE FE00; Standardized_Variants;CID+24628
7099 FE00; Standardized_Variants;CID+24939
70C8 FE00; Standardized_Variants;CID+25023
70D9 FE00; Standardized_Variants;CID+25054
7149 FE00; Standardized_Variants;CID+25262
71CE FE00; Standardized_Variants;CID+25548
71D0 FE00; Standardized_Variants;CID+25552
7210 FE00; Standardized_Variants;CID+25688
721B FE00; Standardized_Variants;CID+25711
7262 FE00; Standardized_Variants;CID+25849
72C0 FE00; Standardized_Variants;CID+25988
72FC FE00; Standardized_Variants;CID+26077
7375 FE00; Standardized_Variants;CID+26287
7387 FE00; Standardized_Variants;CID+26326
7387 FE01; Standardized_Variants;CID+26326
73B2 FE00; Standardized_Variants;CID+26385
73DE FE00; Standardized_Variants;CID+26442
7406 FE00; Standardized_Variants;CID+26501
7409 FE00; Standardized_Variants;CID+26506
7469 FE00; Standardized_Variants;CID+26670
7489 FE00; Standardized_Variants;CID+26729
7498 FE00; Standardized_Variants;CID+26753
7559 FE00; Standardized_Variants;CID+27132
7565 FE00; Standardized_Variants;CID+27156
7570 FE00; Standardized_Variants;CID+27175
75E2 FE00; Standardized_Variants;CID+27377
7642 FE00; Standardized_Variants;CID+27580
7669 FE00; Standardized_Variants;CID+27661
76E7 FE00; Standardized_Variants;CID+27860
7701 FE00; Standardized_Variants;CID+27903
786B FE00; Standardized_Variants;CID+28470
788C FE00; Standardized_Variants;CID+28521
78CA FE00; Standardized_Variants;CID+28624
78FB FE00; Standardized_Variants;CID+28719
792A FE00; Standardized_Variants;CID+28791
797F FE00; Standardized_Variants;CID+28949
79AE FE00; Standardized_Variants;CID+29047
79CA FE00; Standardized_Variants;CID+29098
7A1C FE00; Standardized_Variants;CID+29232
7ACB FE00; Standardized_Variants;CID+29621
7B20 FE00; Standardized_Variants;CID+29786
7C3E FE00; Standardized_Variants;CID+30381
7C60 FE00; Standardized_Variants;CID+30461
7C92 FE00; Standardized_Variants;CID+30573
7CD6 FE00; Standardized_Variants;CID+58877
7CE7 FE00; Standardized_Variants;CID+30757
7D10 FE00; Standardized_Variants;CID+30845
7D22 FE00; Standardized_Variants;CID+30887
7D2F FE00; Standardized_Variants;CID+30909
7DA0 FE00; Standardized_Variants;CID+31135
7DBE FE00; Standardized_Variants;CID+31200
7DF4 FE00; Standardized_Variants;CID+58959
7E37 FE00; Standardized_Variants;CID+31459
7F79 FE00; Standardized_Variants;CID+31974
7F85 FE00; Standardized_Variants;CID+31997
7F9A FE00; Standardized_Variants;CID+32035
8001 FE00; Standardized_Variants;CID+32278
8046 FE00; Standardized_Variants;CID+32411
806F FE00; Standardized_Variants;CID+32488
807E FE00; Standardized_Variants;CID+32525
808B FE00; Standardized_Variants;CID+32549
81D8 FE00; Standardized_Variants;CID+33251
81E8 FE00; Standardized_Variants;CID+33289
826F FE00; Standardized_Variants;CID+33608
82E5 FE00; Standardized_Variants;CID+33851
8336 FE00; Standardized_Variants;CID+34020
83C9 FE00; Standardized_Variants;CID+34309
83F1 FE00; Standardized_Variants;CID+34398
843D FE00; Standardized_Variants;CID+34563
8449 FE00; Standardized_Variants;CID+34589
84EE FE00; Standardized_Variants;CID+58871
84FC FE00; Standardized_Variants;CID+35011
85CD FE00; Standardized_Variants;CID+35520
85FA FE00; Standardized_Variants;CID+35632
8606 FE00; Standardized_Variants;CID+35665
862D FE00; Standardized_Variants;CID+58865
863F FE00; Standardized_Variants;CID+35806
865C FE00; Standardized_Variants;CID+58868
87BA FE00; Standardized_Variants;CID+36444
881F FE00; Standardized_Variants;CID+36630
884C FE00; Standardized_Variants;CID+36714
88C2 FE00; Standardized_Variants;CID+36916
88CF FE00; Standardized_Variants;CID+36942
88E1 FE00; Standardized_Variants;CID+36984
88F8 FE00; Standardized_Variants;CID+37031
8964 FE00; Standardized_Variants;CID+37266
898B FE00; Standardized_Variants;CID+37354
8AAA FE00; Standardized_Variants;CID+37892
8AAA FE01; Standardized_Variants;CID+37892
8AD2 FE00; Standardized_Variants;CID+37976
8AD6 FE00; Standardized_Variants;CID+37985
8AFE FE00; Standardized_Variants;CID+38068
8B58 FE00; Standardized_Variants;CID+38277
8B80 FE00; Standardized_Variants;CID+38361
8C48 FE00; Standardized_Variants;CID+38619
8CC2 FE00; Standardized_Variants;CID+38827
8CC8 FE00; Standardized_Variants;CID+38839
8DEF FE00; Standardized_Variants;CID+39265
8ECA FE00; Standardized_Variants;CID+39658
8F26 FE00; Standardized_Variants;CID+39792
8F2A FE00; Standardized_Variants;CID+39800
8F3B FE00; Standardized_Variants;CID+39837
8F62 FE00; Standardized_Variants;CID+39911
8FB0 FE00; Standardized_Variants;CID+40012
9023 FE00; Standardized_Variants;CID+58872
907C FE00; Standardized_Variants;CID+58874
908F FE00; Standardized_Variants;CID+40607
90CE FE00; Standardized_Variants;CID+40703
90DE FE00; Standardized_Variants;CID+40727
916A FE00; Standardized_Variants;CID+40991
91B4 FE00; Standardized_Variants;CID+41163
91CC FE00; Standardized_Variants;CID+41218
91CF FE00; Standardized_Variants;CID+41221
91D1 FE00; Standardized_Variants;CID+41224
9234 FE00; Standardized_Variants;CID+41406
9304 FE00; Standardized_Variants;CID+41809
934A FE00; Standardized_Variants;CID+41943
95AD FE00; Standardized_Variants;CID+42905
962E FE00; Standardized_Variants;CID+43083
964B FE00; Standardized_Variants;CID+43121
964D FE00; Standardized_Variants;CID+62992
9675 FE00; Standardized_Variants;CID+43189
9678 FE00; Standardized_Variants;CID+43197
9686 FE00; Standardized_Variants;CID+58876
96A3 FE00; Standardized_Variants;CID+62998
96B7 FE00; Standardized_Variants;CID+43317
96B8 FE00; Standardized_Variants;CID+43318
96E2 FE00; Standardized_Variants;CID+43409
96F6 FE00; Standardized_Variants;CID+43446
96F7 FE00; Standardized_Variants;CID+43449
9732 FE00; Standardized_Variants;CID+43577
9748 FE00; Standardized_Variants;CID+43626
9818 FE00; Standardized_Variants;CID+43991
985E FE00; Standardized_Variants;CID+58875
99F1 FE00; Standardized_Variants;CID+44839
9A6A FE00; Standardized_Variants;CID+45063
9B6F FE00; Standardized_Variants;CID+45592
9C57 FE00; Standardized_Variants;CID+45976
9DFA FE00; Standardized_Variants;CID+46620
9E1E FE00; Standardized_Variants;CID+46687
9E7F FE00; Standardized_Variants;CID+46790
9E97 FE00; Standardized_Variants;CID+63090
9E9F FE00; Standardized_Variants;CID+46883
9ECE FE00; Standardized_Variants;CID+47008
9F8D FE00; Standardized_Variants;CID+47441
9F9C FE00; Standardized_Variants;CID+63109
9F9C FE01; Standardized_Variants;CID+63109
# Unicode Version 12.0 SVSes
3001 FE00; Standardized_Variants;CID+1402
3001 FE01; Standardized_Variants;CID+63158
3002 FE00; Standardized_Variants;CID+1403
3002 FE01; Standardized_Variants;CID+63159
FF01 FE00; Standardized_Variants;CID+63160
FF01 FE01; Standardized_Variants;CID+59055
FF0C FE00; Standardized_Variants;CID+59066
FF0C FE01; Standardized_Variants;CID+63161
FF0E FE00; Standardized_Variants;CID+59068
FF0E FE01; Standardized_Variants;CID+63162
FF1A FE00; Standardized_Variants;CID+63163
FF1A FE01; Standardized_Variants;CID+59080
FF1B FE00; Standardized_Variants;CID+63164
FF1B FE01; Standardized_Variants;CID+59081
FF1F FE00; Standardized_Variants;CID+63165
FF1F FE01; Standardized_Variants;CID+59085
# Unicode Version 16.0 SVSes
2018 FE00; Standardized_Variants;CID+725
2018 FE01; Standardized_Variants;CID+63292
2019 FE00; Standardized_Variants;CID+726
2019 FE01; Standardized_Variants;CID+63293
201C FE00; Standardized_Variants;CID+728
201C FE01; Standardized_Variants;CID+63294
201D FE00; Standardized_Variants;CID+729
201D FE01; Standardized_Variants;CID+63295
# EOF
